,title,img_url,details,discount_percentage
22,"Dresses, Tops, Jeans...",https://rukminim1.flixcart.com/image/150/150/xif0q/dress/s/4/0/m-ksldrss2957-kassually-original-imagkzfcycjtvspc.jpeg?q=70,"Dressberry, Metronaut...",60-80% Off
23,"Tops, Trousers, Nighties...",https://rukminim1.flixcart.com/image/150/150/xif0q/top/c/k/d/m-ksltops1858-kassually-original-imagkgfs3gqhkh8h.jpeg?q=70,"Mast & Harbour, Dressberry...",Under ₹599
24,Tommy Hilfiger,https://rukminim1.flixcart.com/image/150/150/xif0q/shoe/0/z/u/-original-imaghxytazya8mnz.jpeg?q=70,"Women's Sneakers, Slides ...",Min. 40% Off
25,"HRX by Hrithik Roshan, Ducati...",https://rukminim1.flixcart.com/image/150/150/l432ikw0/shoe/0/m/y/-original-imagf2566gxbrkdb.jpeg?q=70,"Men's Shoes, Slides & More",Min 60% Off
26,"Campus, Asian...",https://rukminim1.flixcart.com/image/150/150/xif0q/shoe/v/z/j/-original-imaghvb3gcs8dez2.jpeg?q=70,Men's casual Shoes,Under ₹799
27,Sneakers,https://rukminim1.flixcart.com/image/150/150/l407mvk0/shoe/0/y/g/-original-imagfyy2txp7myhw.jpeg?q=70,"ADIDAS, PUMA & More",Min. 50% Off
28,"Birde, Bruton & more",https://rukminim1.flixcart.com/image/150/150/k6mibgw0/shoe/s/y/y/cb-468-466-6-chevit-white-multicolor-original-imafzgypzga9bksn.jpeg?q=70,Men's Shoes...,Under ₹499
29,Sports Shoes,https://rukminim1.flixcart.com/image/150/150/l432ikw0/shoe/p/m/6/-original-imagf255tjygezzs.jpeg?q=70,"NIKE, Skechers...",Min. 40% off
30,"Density, Action...",https://rukminim1.flixcart.com/fk-p-flap/150/150/image/2910e51c9171d86f.jpg?q=70,From your Fav Brands,From ₹299
31,Adidas & Reebok,https://rukminim1.flixcart.com/image/150/150/xif0q/shoe/s/r/u/-original-imagz8y6s3ktwk3b.jpeg?q=70,Women's Sports Shoes,Min. 50% Off
32,Grab or Gone!,https://rukminim1.flixcart.com/image/150/150/l2krs7k0/shoe/i/u/j/8-heart-1-scull-wings-white-original-imagdvxpwzjtqz6z.jpeg?q=70,Sneakers,Under ₹999
33,"Bras, Tops, Jeans & More",https://rukminim1.flixcart.com/image/150/150/xif0q/bra/8/1/9/lightly-padded-40b-regular-no-regular-pc-br-6037a-mah-prettycat-original-imaggwwcayjgfycf.jpeg?q=70,"Jockey,  AND, Killer",From ₹99 + 10%Off
34,"Wrogn, Peter England, Arrow...",https://rukminim1.flixcart.com/image/150/150/kfoapow0-0/shirt/8/q/j/l-hlsh010647-highlander-original-imafw2gpcsa2jya9.jpeg?q=70,"Shirts, Trousers...",Min 55% Off
35,"Printed, Striped Tees",https://rukminim1.flixcart.com/image/150/150/kfzq8i80-0/t-shirt/r/i/w/m-m7ss20cn042b-m7-by-metronaut-original-imafwb2zhmzcdrnd.jpeg?q=70,Trendy Styles,From ₹199
